City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-18.71,84,100,4.63,CA,1701662246
1,port-aux-francais,-49.35,70.2167,3.92,72,8,14.96,TF,1701662246
2,grytviken,-54.2811,-36.5092,1.01,73,5,2.86,GS,1701662247
3,puerto ayora,-0.7393,-90.3518,24.19,92,82,1.79,EC,1701662247
4,puerto aysen,-45.4,-72.7,6.88,99,99,1.3,CL,1701662247
5,stanley,54.868,-1.6985,0.71,96,75,2.06,GB,1701661977
6,waitangi,-43.9535,-176.5597,14.34,73,100,1.34,NZ,1701662247
7,blackmans bay,-43.0167,147.3167,21.52,54,100,0.89,AU,1701662248
8,afega,-13.7973,-171.8531,30.0,79,75,4.63,WS,1701662248
9,saldanha,-33.0117,17.9442,12.03,81,3,3.63,ZA,1701662248
10,adamstown,-25.066,-130.1015,22.37,85,100,5.47,PN,1701662248
11,kerikeri,-35.2268,173.9474,22.73,91,100,0.45,NZ,1701662249
12,st. john's,47.5649,-52.7093,0.54,80,100,1.54,CA,1701662020
13,la'ie,21.6477,-157.9253,26.98,83,21,1.79,US,1701662249
14,ushuaia,-54.8,-68.3,8.81,66,40,15.43,AR,1701662249
15,okha,53.5739,142.9478,-8.06,89,100,4.5,RU,1701662250
16,tinajo,29.0788,-13.7081,16.49,72,0,4.12,ES,1701662250
17,anadyr,64.75,177.4833,-19.72,83,20,4.0,RU,1701662250
18,dzhangala,49.2167,50.3333,7.43,92,100,5.94,KZ,1701662250
19,inverness,57.4791,-4.224,0.92,95,75,0.0,GB,1701662085
20,edinburgh of the seven seas,-37.0676,-12.3116,14.59,85,2,5.22,SH,1701662251
21,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,76,40,3.58,RU,1701662252
22,brookings,44.3114,-96.7984,-3.64,100,100,2.57,US,1701662189
23,ribeira grande,38.5167,-28.7,12.65,73,26,2.68,PT,1701662252
24,aykhal,66.0,111.5,-38.32,99,61,2.35,RU,1701662252
25,whitehorse,60.7161,-135.0538,-11.57,84,75,1.54,CA,1701662047
26,yokadouma,3.5167,15.05,20.05,98,100,0.15,CM,1701662253
27,vorgashor,67.5833,63.95,-27.73,95,92,2.05,RU,1701662253
28,port elizabeth,-33.918,25.5701,17.4,84,0,2.57,ZA,1701662253
29,aswan,24.0934,32.907,18.61,48,0,2.06,EG,1701662253
30,road town,18.4167,-64.6167,26.05,76,19,6.82,VG,1701662179
31,vadso,70.0744,29.7487,-3.91,93,75,4.12,NO,1701662254
32,nasarawa,8.5294,7.7242,24.65,42,42,0.63,NG,1701662254
33,tocopilla,-22.092,-70.1979,19.18,76,32,1.75,CL,1701662254
34,bredasdorp,-34.5322,20.0403,16.51,70,39,2.72,ZA,1701662254
35,richfield,44.8833,-93.283,1.17,87,100,1.54,US,1701662255
36,chul'man,56.8479,124.9104,-14.16,93,100,1.77,RU,1701662255
37,bilibino,68.0546,166.4372,-22.89,99,100,1.35,RU,1701662157
38,acarau,-2.8856,-40.12,25.83,79,85,3.47,BR,1701662255
39,champerico,14.3,-91.9167,26.95,76,9,0.98,GT,1701662255
40,itaperuna,-21.205,-41.8878,23.17,93,44,0.47,BR,1701662106
41,iqaluit,63.7506,-68.5145,-14.15,71,40,4.12,CA,1701662256
42,albany,42.6001,-73.9662,5.36,93,100,3.62,US,1701661984
43,emerald,-23.5333,148.1667,35.19,38,11,1.97,AU,1701662256
44,afaahiti,-17.75,-149.2833,28.93,83,100,10.95,PF,1701662256
45,onguday,50.75,86.15,-2.37,52,96,4.34,RU,1701662257
